agency,wordcount,shall,must,may not,required,prohibited,restrictions
National Institute Of Food And Agriculture,105954,286,330,34,166,5,821
"National Institute Of Standards And Technology, Department Of Commerce",80589,442,141,16,91,7,697
National Labor Relations Board,80848,1112,86,20,79,24,1321
"National Marine Fisheries Service, National Oceanic And Atmospheric Administration, Department Of Commerce",450060,1500,1252,81,315,128,3276
National Mediation Board,11944,109,10,1,8,0,128
"National Oceanic And Atmospheric Administration, Department Of Commerce",263905,1150,789,66,293,124,2422
"National Park Service, Department Of The Interior",291104,1485,741,143,325,571,3265
National Railroad Adjustment Board,1182,9,7,0,2,0,18
National Railroad Passenger Corporation (Amtrak),9103,75,25,6,15,0,121
National Science Foundation,123144,900,197,62,164,59,1382
National Security Council,4054,28,9,0,4,0,41
"National Technical Information Service, Department Of Commerce",3993,25,3,1,6,0,35
"National Telecommunications And Information Administration, Department Of Commerce",13761,68,63,5,24,0,160
"National Telecommunications And Information Administration, Department Of Commerce, And National Highway Traffic Safety Administration, Department Of Transportation",2363,8,11,1,8,0,28
National Transportation Safety Board,52059,467,62,22,46,14,611
"Natural Resources Conservation Service, Department Of Agriculture",100642,212,144,20,103,2,481
Neighborhood Reinvestment Corporation,4093,14,3,5,5,0,27
Northeast Interstate Low-Level Radioactive Waste Commission,1822,20,13,0,0,0,33
Nuclear Regulatory Commission,1246584,8226,5051,612,2630,113,16632
Nuclear Waste Technical Review Board,9409,117,26,0,12,0,155
"Occupational Safety And Health Administration, Department Of Labor",1790418,24730,3715,447,3070,271,32233
Occupational Safety And Health Review Commission,44348,603,43,13,62,5,726
"Office For Civil Rights, Department Of Education",67944,414,122,91,94,47,768
Office For Micronesian Status Negotiations,3721,83,8,2,2,0,95
"Office Of Advocacy And Outreach, Department Of Agriculture",9805,37,19,3,23,1,83
"Office Of Assistant Secretary For Community Planning And Development, Department Of Housing And Urban Development",203399,711,1020,81,300,20,2132
"Office Of Assistant Secretary For Equal Opportunity, Department Of Housing And Urban Development",71567,458,136,32,43,28,697
"Office Of Assistant Secretary For Housing - Federal Housing Commissioner, Department Of Housing And Urban Development",525153,4777,2093,168,1076,40,8154
"Office Of Assistant Secretary For Public And Indian Housing, Department Of Housing And Urban Development",346481,1995,1800,243,650,23,4711
"Office Of Career, Technical, And Adult Education, Department Of Education",104725,198,517,26,167,1,909
"Office Of Child Support Enforcement (Child Support Enforcement Program), Administration For Children And Families, Department Of Health And Human Services",75622,229,467,27,158,0,881
"Office Of Community Services, Administration For Children And Families, Department Of Health And Human Services",3519,22,7,0,4,0,33
"Office Of Elementary And Secondary Education, Department Of Education",108363,79,579,70,100,1,829
"Office Of Energy Policy And New Uses, Department Of Agriculture",6846,54,5,2,3,0,64
"Office Of Environmental Quality, Department Of Agriculture",2376,12,10,0,2,0,24
"Office Of Family Assistance (Assistance Programs), Administration For Children And Families, Department Of Health And Human Services",135833,458,582,53,177,5,1275
"Office Of Federal Contract Compliance Programs, Equal Employment Opportunity, Department Of Labor",97916,687,190,32,172,19,1100
"Office Of Federal Housing Enterprise Oversight, Department Of Housing And Urban Development",65929,70,33,5,53,1,162
"Office Of Financial Research, Department Of Treasury",1679,2,0,1,15,7,25
"Office Of Foreign Assets Control, Department Of The Treasury",418649,1234,535,249,245,794,3057
Office Of Government Ethics,159269,577,238,119,211,103,1248
"Office Of Housing And Office Of Multifamily Housing Assistance Restructuring, Department Of Housing And Urban Development",17864,6,157,5,48,1,217
Office Of Independent Counsel,13832,207,33,2,17,0,259
